transaction_id,user_id,product_id,amount,date,zscore,amount_wins,year,month,day,payment_encoded,payment_type_Cash,payment_type_Credit Card,payment_type_Debit Card,payment_type_Net Banking,payment_type_UPI,payment_type_Wallet,spending_group,log_amount,amount_std,amount_minmax,name,age,gender,city,registration_date,product_name,category,price,stock,last_purchase,days_since_last_purchase,purchase_frequency,avg_monthly_spend,category_total_spend
T000001,U0024,P015,67.67,2023-02-12,0.0015626041000412069,67.67,2023,2,12,5,False,False,False,False,False,True,Medium,4.229312422632585,0.241803756688565,0.42024712159505756,Aarohi Kapoor,20,Female,Patna,2023-03-15,Product_015,Books,2286.25,251,2025-08-03,234,10,67.67,125.02000000000001
T000002,U0196,P044,76.44,2023-03-24,0.1946860251451579,76.44,2023,3,24,4,False,False,False,False,True,False,Medium,4.349503442968322,0.5271782745355802,0.4818169053636619,Kabir Kulkarni,35,Other,Patna,2024-08-01,Product_044,Beauty,1655.45,268,2025-08-21,216,6,76.44,94.92999999999999
T000003,U0196,P049,104.57,2025-08-21,0.8141343528531549,104.57,2025,8,21,2,False,False,True,False,False,False,High,4.659374240001603,1.4425243619969872,0.6793035664139286,Kabir Kulkarni,35,Other,Patna,2024-08-01,Product_049,Home,1701.17,159,2025-08-21,216,6,104.57,104.57
T000004,U0133,P042,102.75,2024-07-23,0.7740562882805083,102.75,2024,7,23,3,False,False,False,True,False,False,High,4.641984159110808,1.383301828076626,0.6665262566694748,Diya Singh,23,Female,Indore,2023-07-06,Product_042,Home,4406.39,59,2024-10-27,514,4,102.75,158.92000000000002
T000005,U0047,P038,23.89,2025-10-04,-0.9625130371035179,23.89,2025,10,4,3,False,False,False,True,False,False,Low,3.2144661163795005,-1.1827910427803439,0.11288963774220724,Anaya Gupta,28,Other,Kolkata,2022-10-13,Product_038,Home,393.65,58,2025-10-04,172,4,23.89,23.89
T000006,U0024,P031,31.1,2025-04-16,-0.8037422428349555,31.1,2025,4,16,4,False,False,False,False,True,False,Low,3.4688560301359703,-0.9481786968650666,0.16350744172985116,Aarohi Kapoor,20,Female,Patna,2023-03-15,Product_031,Grocery,3035.94,111,2025-08-03,234,10,56.526666666666664,55.78
T000007,U0086,P021,74.37,2023-08-03,0.1491027319224224,74.37,2023,8,3,5,False,False,False,False,False,True,Medium,4.322409317855379,0.4598207771646201,0.4672844706543106,Aarohi Reddy,27,Female,Ahmedabad,2022-02-12,Product_021,Books,3055.12,169,2025-10-08,168,4,74.37,74.37
T000008,U0042,P022,74.31,2025-10-11,0.14778147704640102,74.31,2025,10,11,3,False,False,False,True,False,False,Medium,4.32161292811326,0.4578683859364763,0.4668632406627352,Muhammad Singh,33,Female,Kanpur,2023-03-25,Product_022,Electronics,3207.91,466,2025-10-11,165,3,74.31,74.31
T000009,U0074,P043,74.37,2023-03-17,0.1491027319224224,74.37,2023,3,17,3,False,False,False,True,False,False,Medium,4.322409317855379,0.4598207771646201,0.4672844706543106,Diya Gupta,44,Male,Kanpur,2022-10-19,Product_043,Home,3416.65,309,2025-02-16,402,6,74.37,74.37
T000011,U0083,P008,76.9,2023-01-03,0.20481564586132156,76.9,2023,1,3,3,False,False,False,True,False,False,Medium,4.355425952876702,0.5421466072846827,0.4850463352990733,Arjun Khan,43,Male,Thane,2023-07-19,Product_008,Books,4534.16,161,2025-10-23,153,8,76.9,103.51
